"","year","month","value"
"1",2018,"1",407.98
"2",2017,"1",406.13
"3",2016,"1",402.52
"4",2015,"1",399.98
"5",2014,"1",397.85
"6",2013,"1",395.55
"7",2012,"1",393.12
"8",2011,"1",391.33
"9",2010,"1",388.71
"10",2009,"1",386.94
"11",2008,"1",385.52
"12",2007,"1",382.89
"13",2006,"1",381.38
"14",2005,"1",378.46
"15",2004,"1",377
"16",2003,"1",374.88
"17",2002,"1",372.53
"18",2001,"1",370.59
"19",2000,"1",369.29
"20",1999,"1",368.18
"21",1998,"1",365.26
"22",1997,"1",363.09
"23",1996,"1",362.07
"24",1995,"1",359.92
"25",1994,"1",358.24
"26",1993,"1",357
"27",1992,"1",356.25
"28",1991,"1",354.84
"29",1990,"1",353.8
"30",1989,"1",352.91
"31",1988,"1",350.39
"32",1987,"1",348.52
"33",1986,"1",346.56
"34",1985,"1",345.21
"35",1984,"1",344.1
"36",1983,"1",341.68
"37",1982,"1",340.96
"38",1981,"1",339.29
"39",1980,"1",337.9
"40",1979,"1",336.14
"41",1978,"1",334.95
"42",1977,"1",332.66
"43",1976,"1",331.59
"44",1975,"1",330.73
"45",1974,"1",329.35
"46",1973,"1",328.54
"47",1972,"1",326.77
"48",1971,"1",326.17
"49",1970,"1",325.03
"50",1969,"1",324
"51",1968,"1",322.57
"52",1967,"1",322.07
"53",1966,"1",320.62
"54",1965,"1",319.44
"55",1964,"1",319.57
"56",1963,"1",318.74
"57",1962,"1",317.94
"58",1961,"1",316.93
"59",1960,"1",316.43
"60",1959,"1",315.62
"61",1958,"1",NA
"62",2018,"2",408.35
"63",2017,"2",406.42
"64",2016,"2",404.04
"65",2015,"2",400.28
"66",2014,"2",398.01
"67",2013,"2",396.8
"68",2012,"2",393.86
"69",2011,"2",391.86
"70",2010,"2",390.2
"71",2009,"2",387.48
"72",2008,"2",385.82
"73",2007,"2",383.9
"74",2006,"2",382.19
"75",2005,"2",379.73
"76",2004,"2",377.87
"77",2003,"2",375.64
"78",2002,"2",373.2
"79",2001,"2",371.51
"80",2000,"2",369.54
"81",1999,"2",369.07
"82",1998,"2",365.98
"83",1997,"2",364.03
"84",1996,"2",363.24
"85",1995,"2",360.86
"86",1994,"2",358.92
"87",1993,"2",357.31
"88",1992,"2",357.11
"89",1991,"2",355.73
"90",1990,"2",355.04
"91",1989,"2",353.27
"92",1988,"2",351.64
"93",1987,"2",348.73
"94",1986,"2",347.28
"95",1985,"2",346.16
"96",1984,"2",344.79
"97",1983,"2",342.9
"98",1982,"2",341.73
"99",1981,"2",340.55
"100",1980,"2",338.34
"101",1979,"2",336.69
"102",1978,"2",335.25
"103",1977,"2",333.13
"104",1976,"2",332.75
"105",1975,"2",331.46
"106",1974,"2",330.71
"107",1973,"2",329.56
"108",1972,"2",327.63
"109",1971,"2",326.68
"110",1970,"2",325.99
"111",1969,"2",324.42
"112",1968,"2",323.15
"113",1967,"2",322.5
"114",1966,"2",321.59
"115",1965,"2",320.44
"116",1964,"2",320.07
"117",1963,"2",319.08
"118",1962,"2",318.56
"119",1961,"2",317.7
"120",1960,"2",316.97
"121",1959,"2",316.38
"122",1958,"2",NA
"123",2018,"3",409.46
"124",2017,"3",407.18
"125",2016,"3",404.83
"126",2015,"3",401.54
"127",2014,"3",399.77
"128",2013,"3",397.43
"129",2012,"3",394.4
"130",2011,"3",392.6
"131",2010,"3",391.17
"132",2009,"3",388.82
"133",2008,"3",386.03
"134",2007,"3",384.58
"135",2006,"3",382.67
"136",2005,"3",380.77
"137",2004,"3",378.88
"138",2003,"3",376.45
